Tratamiento;Experimento;pfamg;pfrmg;psamg;psrmg
Control;1;79;427;13.5;226.2
Control;1;258;366;25.5;132.9
Control;1;205;454;26.2;218.9
Control;1;242;472;26.3;149.7
Control;1;84;360;22.6;196.5
EU111;1;36;351;18.9;249.8
EU111;1;289;493;37.9;187.9
EU111;1;561;697;55.1;172.9
EU111;1;352;418;38.4;189.3
EU111;1;378;592;39.3;279.4
EU115;1;745;814;71.5;144
EU115;1;621;712;60.9;133.9
EU115;1;1060;770;98;192.2
EU115;1;545;619;53.5;178.5
EU115;1;;;;
EU172;1;425;586;44.5;205.6
EU172;1;535;622;57.3;200.9
EU172;1;491;603;38.6;186.5
EU172;1;250;554;32.6;201.3
EU172;1;400;595;39.7;189.1
EU137;1;368;484;38.2;169.8
EU137;1;425;601;35.2;155.1
EU137;1;338;606;32;281.6
EU137;1;491;660;45.9;202
EU137;1;133;437;13.3;214.8
EU113;1;473;515;51.4;83.7
EU113;1;351;626;36.9;196.8
EU113;1;774;790;78.2;133.8
EU113;1;300;464;36.4;102.8
EU113;1;;;;
EU229;1;420;434;41.3;167.8
EU229;1;329;503;36.5;178.8
EU229;1;318;555;30.2;274.8
EU229;1;76;538;13.5;289.1
EU229;1;77;334;20.5;194.4
EU114;1;373;486;37.7;140.7
EU114;1;317;492;36;217.4
EU114;1;298;523;31;225.7
EU114;1;398;625;36.4;251.3
EU114;1;350;634;35.9;232.9
EU91;1;313;403;36.5;143.5
EU91;1;280;533;27;232.4
EU91;1;181;476;25;239.3
EU91;1;282;655;32.4;193
EU91;1;;;;
EU169;1;342;552;34.6;159.2
EU169;1;479;529;50;156.5
EU169;1;245;407;38;158.6
EU169;1;380;401;43.7;138.8
EU169;1;38;368;14.2;223.4
EU45;1;283;488;34.5;128.9
EU45;1;476;638;57.1;154.4
EU45;1;561;601;59.7;151.8
EU45;1;233;408;34.8;126.6
EU45;1;;;;
EU93;1;436;578;43.2;171
EU93;1;595;673;58.9;93.2
EU93;1;508;638;49.9;170.1
EU93;1;156;525;21.6;285.8
EU93;1;;;;
EU174;1;155;414;15.7;226.7
EU174;1;70;455;15.9;273.8
EU174;1;157;402;16.6;206
EU174;1;335;564;31.5;228.8
EU174;1;;;;
EU51;1;100;450;29.9;153.3
EU51;1;161;527;31.8;228.9
EU51;1;364;527;39.9;191.4
EU51;1;190;482;21.7;148.5
EU51;1;25;576;15.3;355.3
EU58;1;555;646;54.7;186.5
EU58;1;394;581;45.5;184.3
EU58;1;235;628;23.6;199.7
EU58;1;435;602;45.1;213.8
EU58;1;;567;;226.4
EU185;1;616;551;68;141.6
EU185;1;303;443;28.4;153.7
EU185;1;234;476;19.9;237.1
EU185;1;390;609;36;166.1
EU185;1;432;383;56.3;120.8
EU198;1;330;481;32.1;151.6
EU198;1;333;484;43.8;130.3
EU198;1;616;727;58.7;155.6
EU198;1;482;473;48.1;90.9
EU198;1;704;767;62.1;146.7
EU149;1;106;446;17.1;269.1
EU149;1;169;400;14.1;197.4
EU149;1;206;373;36.1;173
EU149;1;55;450;9.4;229.2
EU149;1;;;;
EU204;1;189;458;30.8;194.2
EU204;1;188;487;17.8;244.9
EU204;1;454;697;60.4;101.1
EU204;1;426;435;61.8;139.1
EU204;1;235;456;41;78.6
EU108;1;665;789;74.3;181.7
EU108;1;910;730;89;130.8
EU108;1;441;553;39.7;245.8
EU108;1;200;440;16.8;207.6
EU108;1;125;412;15.4;191.5
UA321;1;150;420;13.9;221.3
UA321;1;263;561;29.4;274.7
UA321;1;285;507;26.6;266.4
UA321;1;385;503;39.7;163.6
UA321;1;68;479;23.3;217.2
EU167;1;135;490;17.1;251.7
EU167;1;680;819;61.1;176.5
EU167;1;471;651;47.3;234.1
EU167;1;501;450;47.2;88.1
EU167;1;;;;
EU85;1;455;584;46.1;299.8
EU85;1;377;595;36.5;237.1
EU85;1;187;560;27.5;136.3
EU85;1;80;412;10.1;230.5
EU85;1;;;;
EU154;1;272;394;17.3;264.3
EU154;1;115;519;33.4;107.4
EU154;1;248;295;35;163
EU154;1;22;426;11.6;205.4
EU154;1;;;;
EU28;1;229;404;27.3;223.9
EU28;1;350;481;34.7;272.6
EU28;1;443;588;41.9;233.5
EU28;1;67;363;16.9;195.4
EU28;1;35;359;16;240.1
EU181;1;366;485;29.6;201
EU181;1;409;533;34.1;187.8
EU181;1;700;640;66.3;125.7
EU181;1;396;574;47.8;127.9
EU181;1;475;560;46.8;172
EU190;1;325;608;32.1;256.2
EU190;1;590;684;58.3;154
EU190;1;631;720;63.1;177
EU190;1;216;511;22.1;187.6
EU190;1;55;385;29;190.9
Control;2;475;543;75;216
Control;2;260;654;49;210
Control;2;402;552;107;266
Control;2;;547;;292
Control;2;610;568;159;154
EU111;2;392;893;55;234
EU111;2;496;670;60;230
EU111;2;561;1200;75;241
EU111;2;536;1143;67;222
EU111;2;615;678;65;196
EU115;2;243;562;49;178
EU115;2;477;780;82;243
EU115;2;606;823;108;278
EU115;2;;;;
EU115;2;564;862;162;231
EU172;2;205;622;40;357
EU172;2;412;598;91;267
EU172;2;183;597;30;381
EU172;2;142;417;20;252
EU172;2;358;549;52;241
EU137;2;753;747;119;245
EU137;2;334;728;40;287
EU137;2;451;735;55;240
EU137;2;420;619;56;239
EU137;2;615;791;79;188
EU113;2;268;495;16;291
EU113;2;537;712;80;187
EU113;2;366;516;63;257
EU113;2;419;679;82;228
EU113;2;77;558;56;265
EU229;2;370;600;66;189
EU229;2;400;750;63;244
EU229;2;360;540;74;143
EU229;2;300;440;58;192
EU229;2;450;920;83;278
EU114;2;487;688;56;221
EU114;2;405;571;56;173
EU114;2;467;587;60;245
EU114;2;467;779;65;204
EU114;2;556;773;76;155
EU91;2;833;818;173;193
EU91;2;529;714;123;241
EU91;2;0;417;;206
EU91;2;482;635;125;180
EU91;2;155;529;30;245
EU169;2;337;823;45;300
EU169;2;247;438;34;197
EU169;2;390;744;43;331
EU169;2;726;908;73;216
EU169;2;514;664;59;163
EU45;2;452;550;131;218
EU45;2;421;774;121;231
EU45;2;;;;
EU45;2;154;497;36;240
EU45;2;576;1283;172;328
EU93;2;392;644;56;234
EU93;2;313;579;43;262
EU93;2;291;696;31;183
EU93;2;514;525;76;165
EU93;2;397;774;41;313
EU174;2;195;633;20;278
EU174;2;375;656;46;235
EU174;2;560;857;64;305
EU174;2;524;732;65;239
EU174;2;506;555;46;170
EU51;2;130;460;17;279
EU51;2;380;790;136;225
EU51;2;470;620;175;248
EU51;2;440;780;82;303
EU51;2;456;790;111;199
EU58;2;384;845;40;272
EU58;2;455;466;94;234
EU58;2;381;724;81;373
EU58;2;229;601;63;317
EU58;2;422;704;104;206
EU185;2;47;414;6;311
EU185;2;489;526;58;245
EU185;2;352;637;39;282
EU185;2;365;776;44;256
EU185;2;215;671;26;317
EU198;2;158;514;19;239
EU198;2;771;967;127;257
EU198;2;378;630;48;169
EU198;2;534;970;73;265
EU198;2;519;884;67;207
EU149;2;626;606;198;165
EU149;2;297;888;70;236
EU149;2;447;638;124;168
EU149;2;415;732;89;216
EU149;2;218;523;30;258
EU204;2;229;543;23;296
EU204;2;399;627;59;261
EU204;2;282;527;54;205
EU204;2;340;559;46;280
EU204;2;358;585;44;234
EU108;2;335;596;39;234
EU108;2;498;744;61;199
EU108;2;524;712;33;322
EU108;2;427;618;51;176
EU108;2;628;827;84;213
UA321;2;268;405;29;212
UA321;2;537;712;64;200
UA321;2;366;526;46;190
UA321;2;419;679;47;226
UA321;2;77;558;11;301
EU167;2;485;744;132;266
EU167;2;524;777;155;256
EU167;2;428;886;70;255
EU167;2;470;930;101;228
EU167;2;562;938;156;220
EU85;2;501;585;64;203
EU85;2;393;754;59;241
EU85;2;317;594;31;219
EU85;2;284;534;40;172
EU85;2;314;528;37;175
EU154;2;596;667;111;213
EU154;2;581;907;98;220
EU154;2;729;962;157;227
EU154;2;725;832;211;187
EU154;2;366;614;55;290
EU28;2;759;871;175;158
EU28;2;623;734;80;188
EU28;2;622;647;104;275
EU28;2;443;495;54;209
EU28;2;273;512;39;189
EU181;2;268;588;25;210
EU181;2;228;652;25;349
EU181;2;404;811;63;232
EU181;2;299;736;51;295
EU181;2;339;620;42;249
EU190;2;136;341;16;266
EU190;2;167;577;25;256
EU190;2;543;864;131;255
EU190;2;368;665;47;228
EU190;2;557;838;109;220
